Wall time,Step,Value
1744919276.8958433,64000,-855.4375
1744919456.156957,128000,-676.6199951171875
1744919636.5942814,192000,-498.510009765625
1744919812.6989968,256000,-455.0199890136719
1744919988.800181,320000,-357.19000244140625
1744920159.9021065,384000,-293.67999267578125
1744920344.1089664,448000,-254.49000549316406
1744920533.7718196,512000,-183.38999938964844
1744920711.7555814,576000,-137.32000732421875
1744920877.8492506,640000,-106.98999786376953
1744921053.4483454,704000,-59.119998931884766
1744921229.756592,768000,-56.54999923706055
1744921400.019938,832000,-55.0099983215332
1744921567.031662,896000,-38.11000061035156
1744921737.8810306,960000,-10.289999961853027
1744921902.1325448,1024000,13.5
1744922080.4410727,1088000,19.329999923706055
1744922259.5716143,1152000,32.470001220703125
1744922448.6679208,1216000,37.59000015258789
1744922632.140785,1280000,48.65999984741211
1744922816.6129355,1344000,59.099998474121094
1744923001.9461071,1408000,59.900001525878906
1744923183.1371598,1472000,65.72000122070312
1744923362.4347174,1536000,75.61000061035156
1744923542.0503762,1600000,82.08000183105469
1744923717.9383762,1664000,86.33999633789062
1744923892.6752105,1728000,88.23999786376953
1744924068.2340567,1792000,86.19999694824219
1744924252.3110483,1856000,84.52999877929688
1744924436.9804704,1920000,89.02999877929688
1744924620.8356717,1984000,98.97000122070312
1744924808.2450247,2048000,101.93000030517578
1744924992.6570413,2112000,104.12999725341797
1744925174.1144547,2176000,107.47000122070312
1744925353.4928463,2240000,102.83999633789062
1744925534.5983427,2304000,105.29000091552734
1744925715.2008991,2368000,112.12999725341797
1744925895.0729735,2432000,114.02999877929688
1744926079.9408953,2496000,112.13999938964844
1744926268.0765145,2560000,108.94999694824219
1744926458.2337341,2624000,114.22000122070312
1744926631.5663755,2688000,114.4800033569336
1744926819.4235399,2752000,108.54000091552734
1744926990.0012994,2816000,106.95999908447266
1744927176.2381256,2880000,112.63999938964844
1744927361.2734232,2944000,117.62999725341797
1744927540.558859,3008000,121.30999755859375
1744927706.397824,3072000,118.5199966430664
1744927873.262121,3136000,122.33999633789062
1744928041.086809,3200000,124.05999755859375
1744928230.9248679,3264000,121.76000213623047
1744928419.9515026,3328000,123.88999938964844
1744928609.8864408,3392000,128.0399932861328
1744928784.5408633,3456000,122.76000213623047
1744928941.7584667,3520000,126.91999816894531
1744929115.3317225,3584000,130.11000061035156
1744929289.5471225,3648000,133.47000122070312
1744929443.9162066,3712000,133.99000549316406
1744929596.1130612,3776000,135.35000610351562
1744929747.8802764,3840000,132.35000610351562
1744929917.263073,3904000,135.27999877929688
1744930105.5253296,3968000,134.85000610351562
1744930280.5513804,4032000,135.22999572753906
1744930470.8618999,4096000,137.33999633789062
1744930630.0631595,4160000,134.17999267578125
1744930824.2768636,4224000,137.50999450683594
1744931008.8548079,4288000,137.85000610351562
1744931194.8573775,4352000,135.5500030517578
1744931364.601641,4416000,139.16000366210938
1744931506.277221,4480000,137.41000366210938
1744931696.194163,4544000,142.4499969482422
1744931887.4079998,4608000,146.94000244140625
1744932049.5020323,4672000,140.92999267578125
1744932204.3804493,4736000,132.0800018310547
1744932397.0316143,4800000,127.37000274658203
