Wall time,Step,Value
1744569720.1145396,128000,-3226.179931640625
1744569823.8068106,160000,-2539.89990234375
1744570409.2174535,352000,-724.6300048828125
1744570783.004505,480000,-254.6999969482422
1744570884.982042,512000,-194.9199981689453
1744571177.518271,608000,-100.02999877929688
1744571268.3765786,640000,-98.94000244140625
1744571357.5828912,672000,-97.69000244140625
1744571548.968516,736000,-56.970001220703125
1744571646.9952238,768000,-40.869998931884766
1744571934.8526616,864000,-10.319999694824219
1744572029.2500885,896000,-4.360000133514404
1744573310.6328907,1312000,33.77000045776367
1744573998.420898,1536000,40.75
1744574092.4977567,1568000,43.93000030517578
1744574193.6875398,1600000,46.70000076293945
1744574392.7380395,1664000,45.56999969482422
1744574683.8533258,1760000,61.91999816894531
1744574980.117492,1856000,73.81999969482422
1744575293.4806402,1952000,99.62999725341797
1744575393.9712114,1984000,98.05000305175781
1744575492.5438828,2016000,99.01000213623047
1744575589.4375608,2048000,101.19000244140625
1744575780.9766521,2112000,105.16000366210938
1744575880.4231524,2144000,100.26000213623047
1744575981.6041226,2176000,109.12999725341797
1744576083.6491442,2208000,110.30000305175781
1744576294.5761964,2272000,108.75
1744576398.8175006,2304000,110.9800033569336
1744576999.079068,2496000,128.4499969482422
1744577202.4636362,2560000,123.61000061035156
1744577507.7975054,2656000,134.32000732421875
1744578208.9168594,2880000,156.1699981689453
1744579210.3180563,3200000,174.35000610351562
1744579613.057239,3328000,181.8800048828125
1744579912.597941,3424000,175.32000732421875
1744580015.9869964,3456000,170.5500030517578
1744580219.3641713,3520000,171.16000366210938
1744580919.7782185,3744000,170.6199951171875
1744581431.5709567,3904000,180.82000732421875
1744581834.4635508,4032000,186.47999572753906
1744581938.6020713,4064000,191.97000122070312
1744582144.013796,4128000,197.9600067138672
1744582338.9308345,4192000,206.9600067138672
1744582948.023638,4384000,211.64999389648438
1744583049.5794375,4416000,211.44000244140625
1744583754.5013578,4640000,227.0500030517578
1744583963.8486872,4704000,231.22999572753906
1744584055.9561064,4736000,224.7899932861328
1744584352.495832,4832000,218.67999267578125
1744585084.9761772,5056000,229.86000061035156
1744585385.6869588,5152000,220.0500030517578
1744585591.8394544,5216000,219.32000732421875
1744585805.0596786,5280000,238.16000366210938
1744586410.1833386,5472000,221.0
1744586515.0757544,5504000,221.49000549316406
1744586620.765191,5536000,233.00999450683594
1744587143.6580951,5696000,233.1300048828125
1744587851.7478745,5920000,224.33999633789062
1744587951.5788658,5952000,216.64999389648438
1744588049.6210878,5984000,217.63999938964844
1744588441.5554583,6112000,229.55999755859375
1744588546.1271067,6144000,236.27000427246094
1744588648.271273,6176000,234.1699981689453
1744589331.4457245,6400000,228.77999877929688
1744589615.939266,6496000,214.32000732421875
1744589712.489175,6528000,218.52999877929688
1744589808.3631136,6560000,214.77999877929688
1744589907.2239668,6592000,220.52000427246094
1744590106.970678,6656000,225.00999450683594
1744590506.4901314,6784000,219.7899932861328
1744590705.7160552,6848000,228.75999450683594
1744590909.2420173,6912000,233.66000366210938
1744591324.0204148,7040000,232.99000549316406
1744591424.0993752,7072000,231.10000610351562
