Wall time,Step,Value
1744833346.64479,128000,-594.1199951171875
1744833450.7550895,160000,-464.07000732421875
1744834066.239489,352000,-194.1999969482422
1744834503.1526854,480000,-63.33000183105469
1744834603.5152295,512000,-61.97999954223633
1744834909.430758,608000,-36.72999954223633
1744835016.4293993,640000,-17.709999084472656
1744835121.7759078,672000,-5.929999828338623
1744835347.9266562,736000,25.389999389648438
1744835462.5103066,768000,39.88999938964844
1744835793.6529825,864000,58.630001068115234
1744835901.1596317,896000,63.779998779296875
1744837173.6329372,1248000,101.05999755859375
1744837401.6222231,1312000,102.58999633789062
1744838228.576722,1536000,108.93000030517578
1744838350.8458776,1568000,110.5199966430664
1744838473.7291443,1600000,108.37000274658203
1744838706.1444619,1664000,108.19999694824219
1744839067.29908,1760000,116.56999969482422
1744839422.8031735,1856000,114.70999908447266
1744839786.9377666,1952000,118.91999816894531
1744839908.3299668,1984000,119.47000122070312
1744840026.4127922,2016000,116.86000061035156
1744840144.7476978,2048000,116.37000274658203
1744840394.6298912,2112000,122.02999877929688
1744840517.1635513,2144000,123.97000122070312
1744840636.5315597,2176000,126.76000213623047
1744840755.7303903,2208000,124.70999908447266
1744841001.5668223,2272000,121.30000305175781
1744841123.4014933,2304000,122.94999694824219
1744841798.1834903,2496000,125.55999755859375
1744842023.2200568,2560000,127.18000030517578
1744842128.072836,2592000,122.38999938964844
1744842350.893056,2656000,115.81999969482422
1744842688.7491798,2752000,123.11000061035156
1744843146.5124357,2880000,125.69999694824219
1744844192.8210907,3200000,119.05999755859375
1744844304.4401236,3232000,117.22000122070312
1744844623.376307,3328000,118.12000274658203
1744844945.301728,3424000,122.06999969482422
1744845042.4058518,3456000,127.13999938964844
1744845265.0830212,3520000,129.89999389648438
1744845989.8587954,3744000,117.58000183105469
1744846496.3965466,3904000,128.3699951171875
1744846901.6999404,4032000,122.3499984741211
1744847004.2626734,4064000,124.36000061035156
1744847223.7972026,4128000,126.48999786376953
1744847430.4444034,4192000,125.4000015258789
1744847538.4985878,4224000,125.27999877929688
1744848053.1032798,4384000,120.33999633789062
1744848163.4345293,4416000,117.70999908447266
1744848865.148163,4640000,119.19999694824219
1744849072.2481258,4704000,120.9800033569336
1744849166.9508495,4736000,125.45999908447266
