Wall time,Step,Value
1744833328.5997145,128000,-519.1799926757812
1744833430.9968083,160000,-458.8500061035156
1744834045.9704149,352000,-203.38999938964844
1744834483.36118,480000,-46.209999084472656
1744834585.66547,512000,-39.66999816894531
1744834889.339561,608000,-1.6399999856948853
1744834996.1840389,640000,6.239999771118164
1744835102.0231407,672000,18.149999618530273
1744835328.2102072,736000,33.22999954223633
1744835442.5431004,768000,37.119998931884766
1744835773.67035,864000,72.91999816894531
1744835881.1777763,896000,74.83999633789062
1744837153.1726687,1248000,96.23999786376953
1744837381.3383257,1312000,99.63999938964844
1744838207.73013,1536000,109.94000244140625
1744838329.7102573,1568000,111.20999908447266
1744838452.544252,1600000,113.68000030517578
1744838685.0314198,1664000,109.11000061035156
1744839046.4537678,1760000,108.9800033569336
1744839401.7780528,1856000,116.22000122070312
1744839765.5747461,1952000,115.33000183105469
1744839886.2669427,1984000,113.45999908447266
1744840003.665885,2016000,115.12999725341797
1744840122.8671277,2048000,123.30999755859375
1744840372.967983,2112000,117.91999816894531
1744840494.7757845,2144000,116.72000122070312
1744840614.419544,2176000,120.13999938964844
1744840734.327266,2208000,120.91999816894531
1744840980.3147624,2272000,118.93000030517578
1744841100.7460392,2304000,122.41000366210938
1744841776.781639,2496000,125.19000244140625
1744842002.1970751,2560000,122.54000091552734
1744842107.243651,2592000,123.88999938964844
1744842330.1353877,2656000,122.66999816894531
1744842667.63953,2752000,122.72000122070312
1744843125.3327856,2880000,121.08000183105469
1744844177.5758836,3200000,118.95999908447266
1744844283.2278411,3232000,120.70999908447266
1744844602.7910144,3328000,126.06999969482422
1744844925.113195,3424000,125.7300033569336
1744845021.5225222,3456000,124.2699966430664
1744845244.2919292,3520000,119.12999725341797
1744845968.9245534,3744000,120.47000122070312
1744846475.4406817,3904000,122.37000274658203
1744846881.526746,4032000,125.83999633789062
1744846983.9180405,4064000,122.26000213623047
1744847203.4203892,4128000,123.12999725341797
1744847409.3287835,4192000,126.37000274658203
1744847517.6624691,4224000,126.70999908447266
1744848032.1054883,4384000,126.55000305175781
1744848142.250603,4416000,125.94999694824219
1744848844.5028179,4640000,119.7300033569336
1744849052.3908553,4704000,116.79000091552734
1744849146.3454285,4736000,116.41999816894531
1744849457.2061424,4832000,116.16999816894531
1744850196.8949869,5056000,119.73999786376953
1744850508.529867,5152000,123.58000183105469
1744850725.3850653,5216000,123.22000122070312
1744850922.8619266,5280000,122.7699966430664
1744851520.9671886,5472000,128.4199981689453
1744851613.476324,5504000,127.66999816894531
1744851694.2663038,5536000,126.3499984741211
1744852019.237093,5632000,132.27000427246094
1744852123.9635196,5664000,134.77000427246094
1744852226.4211502,5696000,134.7899932861328
1744852608.0565932,5824000,135.8699951171875
1744852870.8812523,5920000,135.83999633789062
1744852962.8938606,5952000,137.63999938964844
1744853050.517389,5984000,138.36000061035156
1744853419.5306647,6112000,132.5800018310547
1744853507.2354493,6144000,136.33999633789062
1744853601.8415625,6176000,138.8300018310547
1744854252.8476315,6400000,132.7100067138672
1744854551.7642694,6496000,131.9199981689453
1744854657.7777457,6528000,134.75999450683594
1744854752.0797596,6560000,136.08999633789062
1744854852.0723772,6592000,138.74000549316406
1744855059.5030723,6656000,136.41000366210938
1744855255.3499105,6720000,138.24000549316406
1744855471.8276858,6784000,140.4199981689453
1744855664.5287023,6848000,138.33999633789062
1744855825.9734092,6912000,137.8699951171875
1744855931.7134562,6944000,140.2899932861328
1744856211.0968978,7040000,140.7899932861328
1744856301.6208966,7072000,141.11000061035156
1744856383.5957227,7104000,138.5399932861328
1744856474.8279216,7136000,139.4499969482422
1744856645.1351614,7200000,138.8800048828125
1744857126.0058298,7360000,139.1699981689453
1744858095.6753066,7680000,140.85000610351562
1744858276.8792305,7744000,141.0500030517578
1744858541.2854238,7840000,143.75
1744858640.5302308,7872000,145.00999450683594
1744858744.6454098,7904000,145.0800018310547
1744859487.3052764,8160000,141.7899932861328
1744859845.5424755,8288000,144.7899932861328
1744859940.5833385,8320000,143.85000610351562
1744860036.7151613,8352000,144.75
1744860210.9143019,8416000,143.69000244140625
1744860992.7008636,8672000,138.1999969482422
1744861081.3577976,8704000,140.5500030517578
1744861358.1048908,8800000,141.17999267578125
1744861535.914529,8864000,141.10000610351562
1744861710.3928769,8928000,142.3800048828125
1744861872.2954783,8992000,142.83999633789062
1744862056.350692,9056000,147.85000610351562
1744862146.0434544,9088000,147.1300048828125
1744862304.7720416,9152000,148.3800048828125
1744862483.3562045,9216000,150.1999969482422
1744862569.1628742,9248000,145.9600067138672
1744862737.5352032,9312000,149.0800018310547
1744863183.378048,9472000,152.27999877929688
1744863274.9361694,9504000,152.9499969482422
1744863362.9069734,9536000,154.33999633789062
1744863445.9850712,9568000,152.44000244140625
1744864169.4700012,9824000,147.2899932861328
1744864354.2002616,9888000,147.14999389648438
1744864439.089065,9920000,144.49000549316406
1744864700.5542712,10016000,145.52999877929688
1744865039.3130589,10144000,144.55999755859375
1744865196.9562314,10208000,143.82000732421875
1744865279.3932214,10240000,145.22999572753906
1744865532.3665192,10336000,142.85000610351562
1744865695.8503897,10400000,140.30999755859375
1744866103.6563313,10560000,136.8699951171875
1744866280.51351,10624000,130.02999877929688
1744866355.3130279,10656000,130.8699951171875
1744866753.4277196,10816000,132.2100067138672
1744866830.7295308,10848000,136.22000122070312
1744866987.4393175,10912000,140.7899932861328
1744867241.0386338,11008000,136.88999938964844
1744867407.3052626,11072000,139.32000732421875
1744867499.341118,11104000,140.99000549316406
1744867831.2333255,11232000,139.00999450683594
1744867978.2367964,11296000,145.35000610351562
1744868135.9382753,11360000,140.6999969482422
