Wall time,Step,Value
1744918043.767429,32000,-942.31396484375
1744918237.6509223,96000,-784.7640991210938
1744918334.6436758,128000,-649.385498046875
1744918434.6886854,160000,-512.83984375
1744919012.589407,352000,-239.1000518798828
1744919107.965333,384000,-215.39434814453125
1744919398.5717714,480000,-152.13754272460938
1744919496.637055,512000,-124.97140502929688
1744919795.8453887,608000,-82.31676483154297
1744919892.1180744,640000,-66.65638732910156
1744919991.4053202,672000,-62.1605110168457
1744920188.8580315,736000,-51.321754455566406
1744920289.021479,768000,-48.315757751464844
1744920595.1677701,864000,-29.577373504638672
1744920696.9492202,896000,-30.496877670288086
1744920900.1508923,960000,-27.1978816986084
1744920999.40646,992000,-19.625749588012695
1744921296.8671458,1088000,-12.85737419128418
1744921396.9841902,1120000,-11.497876167297363
1744921598.4801424,1184000,-2.8967504501342773
1744921699.4313233,1216000,1.1421247720718384
1744921800.7217,1248000,3.710874557495117
1744921897.9000254,1280000,0.4578753411769867
1744921998.6036422,1312000,0.4401254653930664
1744922685.9127083,1536000,6.2196245193481445
1744922782.8089907,1568000,7.6685004234313965
1744922881.7261178,1600000,7.531124114990234
1744922979.2346833,1632000,8.00374984741211
1744923077.3216267,1664000,7.419500350952148
1744923175.169426,1696000,7.468000888824463
1744923371.280214,1760000,6.233625411987305
1744923468.3820574,1792000,6.062125205993652
1744923662.2823699,1856000,5.879374980926514
1744923957.7388208,1952000,5.218625545501709
1744924053.0954876,1984000,4.972875595092773
1744924152.718282,2016000,4.953624725341797
1744924250.4013007,2048000,4.998874664306641
1744924446.290361,2112000,5.309750556945801
1744924544.0992846,2144000,5.44212532043457
1744924641.3211205,2176000,6.292500019073486
1744924738.6650023,2208000,6.3421244621276855
1744924933.662391,2272000,7.2466254234313965
1744925031.325772,2304000,6.771501064300537
1744925224.8064504,2368000,7.262124061584473
1744925420.4275837,2432000,7.566125392913818
1744925617.007278,2496000,6.668375015258789
1744925813.565286,2560000,6.161500453948975
1744925904.7000432,2592000,6.957625865936279
1744926102.3891675,2656000,6.353250503540039
1744926191.5909848,2688000,6.074375152587891
1744926387.9283612,2752000,5.066375255584717
1744926486.1712837,2784000,5.444499492645264
1744926759.0613701,2880000,5.087249755859375
1744926854.9175117,2912000,5.475500583648682
1744927300.6938388,3072000,5.543125152587891
1744927619.5169096,3200000,6.057249546051025
1744927695.8827426,3232000,6.015125751495361
1744927905.9061697,3328000,5.135125160217285
1744928102.4714592,3424000,6.097625732421875
1744928170.2699902,3456000,5.8600006103515625
1744928308.8284683,3520000,5.724625110626221
1744928376.443435,3552000,6.015875339508057
1744928445.6841874,3584000,5.932249546051025
1744928601.244872,3680000,5.3116254806518555
1744928699.502891,3744000,5.570500373840332
1744928972.9741054,3904000,6.587000846862793
1744929188.7826886,4032000,6.099750995635986
1744929237.1710813,4064000,6.078249931335449
1744929332.2924974,4128000,6.36062479019165
1744929380.6623328,4160000,6.483875751495361
1744929427.601167,4192000,6.714874744415283
1744929476.3572905,4224000,5.66562557220459
1744929525.2903218,4256000,5.679625034332275
1744929621.287558,4320000,6.403124809265137
1744929717.508727,4384000,6.518624782562256
1744929766.4397323,4416000,6.24637508392334
1744930058.8550591,4608000,5.857625961303711
1744930107.2338903,4640000,6.109750270843506
1744930204.1121914,4704000,6.552250862121582
1744930252.7631016,4736000,6.520625114440918
1744930399.6626613,4832000,5.98799991607666
1744930736.113022,5056000,6.465875148773193
1744930832.8852935,5120000,6.252251148223877
1744930882.1659777,5152000,6.178375720977783
1744930978.567888,5216000,6.1827497482299805
1744931027.6702728,5248000,6.088374614715576
1744931077.132503,5280000,6.456875801086426
1744931171.5773435,5344000,7.327000141143799
1744931366.3499947,5472000,5.2522501945495605
1744931415.5183897,5504000,6.083499908447266
1744931464.1981378,5536000,6.3987507820129395
1744931609.9920914,5632000,6.606250762939453
1744931658.891273,5664000,5.976624965667725
1744931708.6641805,5696000,6.255500316619873
1744931758.2680385,5728000,6.3510003089904785
1744931855.1225777,5792000,6.6579999923706055
1744931904.478161,5824000,6.1219987869262695
1744932002.572255,5888000,6.273000717163086
1744932050.526447,5920000,6.137124538421631
1744932099.448106,5952000,5.441500186920166
1744932147.4572334,5984000,5.347375392913818
1744932292.8696635,6080000,5.531999588012695
1744932340.0730512,6112000,5.795125961303711
1744932388.0753307,6144000,5.973499774932861
1744932436.326096,6176000,5.575624942779541
1744932580.234379,6272000,6.024374961853027
1744932725.1819184,6368000,6.063124179840088
1744932774.0564682,6400000,5.462874889373779
1744932823.97659,6432000,5.27400016784668
1744932918.2195382,6496000,5.4787492752075195
1744932967.577181,6528000,4.895500183105469
1744933016.0571034,6560000,5.301999568939209
1744933063.931388,6592000,5.091500282287598
1744933163.8861954,6656000,6.1292500495910645
1744933259.554812,6720000,5.912875175476074
1744933358.4313617,6784000,6.384375095367432
1744933454.5532832,6848000,5.796999931335449
1744933552.571586,6912000,5.0582499504089355
1744933599.6824758,6944000,5.037875175476074
1744933698.1421545,7008000,6.434750556945801
1744933745.8987474,7040000,6.728375434875488
1744933794.758503,7072000,6.298125743865967
1744933843.962413,7104000,6.193376064300537
1744933892.5374916,7136000,5.689625263214111
1744933988.8765285,7200000,6.455625534057617
1744934037.8529246,7232000,6.665124893188477
1744934232.1219027,7360000,5.423250675201416
1744934377.1133025,7456000,6.026124477386475
1744934523.996472,7552000,5.844124794006348
1744934573.491988,7584000,6.195125102996826
1744934622.5351908,7616000,5.628125190734863
1744934670.4729068,7648000,5.595875263214111
1744934718.4446595,7680000,5.437874794006348
1744934816.6359367,7744000,6.619124889373779
1744934865.7709816,7776000,6.630624771118164
1744934965.3946965,7840000,6.067749500274658
1744935013.7003798,7872000,6.225375175476074
1744935062.8129,7904000,5.825500011444092
1744935112.4899528,7936000,6.450875759124756
1744935352.5161881,8096000,6.613375663757324
1744935401.851155,8128000,5.921500205993652
1744935451.0133555,8160000,5.584751129150391
1744935599.9064095,8256000,5.690125942230225
1744935647.996743,8288000,5.711625576019287
1744935696.1026514,8320000,5.984250545501709
1744935746.749899,8352000,5.584875583648682
1744935845.1763015,8416000,5.604625225067139
1744936138.4020174,8608000,6.341750621795654
1744936235.626344,8672000,6.108874320983887
1744936284.6336927,8704000,6.124624252319336
1744936432.3911593,8800000,6.597499370574951
1744936483.2456439,8832000,6.954249858856201
1744936529.7380824,8864000,6.580625057220459
1744936630.3132508,8928000,6.1546244621276855
1744936730.038695,8992000,6.850250244140625
1744936830.0338278,9056000,5.878375053405762
1744936878.072251,9088000,5.6585001945495605
1744936979.8798027,9152000,5.85575008392334
1744937077.8342972,9216000,5.888249397277832
1744937126.6050103,9248000,5.270875453948975
1744937225.8051305,9312000,5.00100040435791
1744937277.1286156,9344000,4.741500377655029
1744937470.6998093,9472000,5.8912506103515625
1744937521.371025,9504000,5.607750415802002
1744937572.023254,9536000,5.737750053405762
1744937620.0668273,9568000,6.087874889373779
1744937669.1076376,9600000,6.171875
1744937916.4491634,9760000,6.1523756980896
1744938012.032412,9824000,6.652625560760498
1744938063.415516,9856000,7.115251064300537
1744938112.7225785,9888000,6.865624904632568
1744938160.7957203,9920000,6.623875141143799
1744938309.0081189,10016000,6.7062506675720215
1744938358.1352162,10048000,6.7310004234313965
1744938455.9550843,10112000,5.839624404907227
1744938503.4340227,10144000,6.1726250648498535
1744938601.418922,10208000,6.727874279022217
1744938650.4479208,10240000,6.108875274658203
1744938796.417246,10336000,5.769125461578369
1744938894.8343022,10400000,5.668499946594238
1744939135.3665123,10560000,5.889000415802002
1744939184.9909208,10592000,6.324749946594238
1744939233.257821,10624000,6.671626091003418
1744939283.0746276,10656000,7.112499237060547
1744939331.877094,10688000,6.193000316619873
1744939529.3256369,10816000,7.385375499725342
1744939577.3754265,10848000,6.409250259399414
1744939676.2156339,10912000,6.251500129699707
1744939822.0525284,11008000,5.543125152587891
1744939870.2364078,11040000,5.731875419616699
1744939919.5974178,11072000,5.919625282287598
1744939971.1652422,11104000,6.2451252937316895
1744940068.476597,11168000,6.486875534057617
1744940115.675917,11200000,6.539000034332275
1744940163.5456448,11232000,5.7405009269714355
1744940260.7234128,11296000,5.614999771118164
1744940307.9967618,11328000,5.531374931335449
1744940356.8288157,11360000,5.562750339508057
1744940405.4019113,11392000,5.751624584197998
1744940500.852035,11456000,6.5920000076293945
1744940549.272306,11488000,5.972750663757324
1744940644.2860968,11552000,5.010500431060791
1744940740.2411704,11616000,5.089375019073486
1744940787.6139674,11648000,5.192249774932861
1744940836.4798315,11680000,5.374375820159912
1744940884.3518338,11712000,6.045750141143799
1744940931.683197,11744000,6.434124946594238
1744940979.651999,11776000,5.973750591278076
1744941028.1598063,11808000,5.196874618530273
1744941315.043685,12000000,6.319249153137207
1744941362.2706225,12032000,6.927250385284424
1744941458.0791733,12096000,6.475250244140625
1744941505.5355167,12128000,6.077000617980957
1744941699.1174965,12256000,6.790499687194824
1744941798.6957173,12320000,6.293874740600586
1744941846.2340183,12352000,6.24162483215332
1744941895.3254519,12384000,5.259500026702881
1744942042.4815328,12480000,6.463499546051025
1744942092.1449783,12512000,5.6605000495910645
1744942140.519094,12544000,5.389124870300293
1744942189.1785252,12576000,5.5582499504089355
1744942238.6065123,12608000,5.948375225067139
1744942286.3172324,12640000,6.335750579833984
1744942334.4936192,12672000,6.3561248779296875
1744942383.7490914,12704000,6.934250354766846
1744942431.8751564,12736000,6.546500205993652
1744942479.48007,12768000,6.2738752365112305
1744942528.6608622,12800000,5.758625507354736
1744942624.9729939,12864000,5.757874965667725
1744942675.0588443,12896000,5.373875617980957
1744942772.485332,12960000,5.590625762939453
1744942869.6050715,13024000,6.525000095367432
1744942964.152125,13088000,7.187750339508057
1744943013.3443928,13120000,6.474874973297119
1744943157.523015,13216000,6.326124668121338
1744943205.9134705,13248000,6.980499744415283
1744943253.212275,13280000,7.001250743865967
1744943301.604706,13312000,6.864874839782715
1744943446.1944733,13408000,5.691625595092773
1744943493.741021,13440000,5.2642502784729
1744943590.6316328,13504000,6.373750686645508
1744943638.536235,13536000,6.6010003089904785
1744943781.20587,13632000,5.9795002937316895
1744943827.7403471,13664000,5.990251064300537
1744944022.0928168,13792000,6.9492506980896
1744944070.5399368,13824000,6.477625846862793
1744944214.1018627,13920000,6.80049991607666
1744944261.354937,13952000,7.031749725341797
1744944310.0467646,13984000,6.498626232147217
1744944358.2742124,14016000,6.215874195098877
1744944406.4175754,14048000,6.572250843048096
1744944455.236653,14080000,6.360750198364258
1744944503.4638963,14112000,6.601500988006592
1744944553.435015,14144000,6.161249160766602
1744944651.6205904,14208000,5.875125885009766
1744944700.1459057,14240000,5.748500347137451
1744944750.722413,14272000,5.416250228881836
1744944799.046306,14304000,5.573625087738037
1744944992.172919,14432000,5.332376003265381
1744945041.1828194,14464000,5.490750312805176
1744945088.9005766,14496000,5.815875053405762
1744945137.511507,14528000,6.152499198913574
1744945186.296841,14560000,6.5566253662109375
1744945282.7881832,14624000,6.010624885559082
1744945378.8202426,14688000,6.486999988555908
1744945474.5852354,14752000,6.5525007247924805
1744945520.9897091,14784000,6.615875720977783
1744945569.1607263,14816000,6.853875160217285
1744945665.9904957,14880000,6.686250686645508
