Wall time,Step,Value
1744918063.8097522,32000,-840.7350463867188
1744918254.9353886,96000,-761.6139526367188
1744918355.049881,128000,-687.6337280273438
1744918455.4188185,160000,-608.2328491210938
1744919033.078108,352000,-225.01593017578125
1744919127.824079,384000,-216.34115600585938
1744919420.0362914,480000,-152.3510284423828
1744919518.0636752,512000,-136.2104034423828
1744919817.1987412,608000,-95.08527374267578
1744919912.7633147,640000,-88.01162719726562
1744920011.7847223,672000,-80.80476379394531
1744920210.1516657,736000,-54.63288116455078
1744920311.4047527,768000,-48.53688049316406
1744920616.61362,864000,-31.70062828063965
1744920717.914505,896000,-30.21474838256836
1744920920.812102,960000,-25.394123077392578
1744921020.0737143,992000,-20.30375099182129
1744921318.4848993,1088000,-8.742500305175781
1744921418.5525594,1120000,-4.8328752517700195
1744921621.2256212,1184000,-1.2947500944137573
1744921719.8511176,1216000,0.381374716758728
1744921821.447625,1248000,1.2869998216629028
1744921918.8018115,1280000,1.1808748245239258
1744922018.8019125,1312000,0.2894998788833618
1744922706.0416794,1536000,2.678499698638916
1744922803.6802518,1568000,3.361874580383301
1744922902.5569572,1600000,3.201125144958496
1744923000.07472,1632000,3.634625196456909
1744923098.0144346,1664000,3.6503746509552
1744923195.808084,1696000,4.507875442504883
1744923391.3136663,1760000,3.9391250610351562
1744923488.7685854,1792000,3.389125108718872
1744923682.6990612,1856000,3.304874897003174
1744923977.7154367,1952000,2.8123748302459717
1744924074.2366655,1984000,2.2301249504089355
1744924172.9945695,2016000,3.0234997272491455
1744924271.273143,2048000,2.6913747787475586
1744924466.667635,2112000,3.290249824523926
1744924563.9226894,2144000,3.7305002212524414
1744924661.810419,2176000,3.544874906539917
1744924759.795334,2208000,3.6056249141693115
1744924954.203895,2272000,4.28849983215332
1744925051.598212,2304000,4.53962516784668
1744925245.2025797,2368000,3.988875150680542
1744925440.85029,2432000,3.934999942779541
1744925637.362837,2496000,4.108250141143799
1744925833.8527167,2560000,3.1999998092651367
1744925925.34784,2592000,3.4608750343322754
1744926113.039138,2656000,4.014875411987305
1744926211.9938686,2688000,3.7996249198913574
1744926409.000758,2752000,3.443125009536743
1744926497.324933,2784000,3.146249771118164
1744926779.0631528,2880000,3.0833749771118164
1744926865.310916,2912000,3.5242502689361572
1744927320.8389323,3072000,3.3809995651245117
1744927629.862478,3200000,4.053625106811523
1744927706.8944178,3232000,3.989875078201294
